pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
Body Mass Index:Waist circumference (adjBMI)	female	2	2	NA	NA	NA	2	1	1
Body Mass Index:Waist circumference (adjBMI)	male	3	2	1	NA	1	3	3	NA
Body Mass Index:Waist-hip ratio	female	6	NA	6	2	4	6	6	NA
Body Mass Index:Waist-hip ratio	male	10	NA	10	6	4	10	10	NA
Body Mass Index:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Body Mass Index:Waist-hip ratio (adjBMI)	female	2	2	NA	NA	NA	2	2	NA
Body Mass Index:Waist-hip ratio (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Body Mass Index:Weight	female	14	NA	14	11	3	14	14	NA
Body Mass Index:Weight	male	9	NA	9	7	2	9	9	NA
Body Mass Index:logTG	female	16	4	12	9	3	16	13	3
Body Mass Index:logTG	male	12	4	8	6	2	12	9	3
Body Mass Index:nonHDL	female	7	2	5	1	4	7	4	3
Body Mass Index:nonHDL	male	4	3	1	NA	1	4	2	2
CC Central:Educational attainment	female	1	NA	1	1	NA	1	1	NA
CC Central:HDL	male	1	1	NA	NA	NA	1	1	NA
CC Central:Left 5m area	female	1	1	NA	NA	NA	1	1	NA
CC Central:Left Caudate	female	1	1	NA	NA	NA	1	1	NA
CC Central:Left Putamen	female	1	NA	1	1	NA	1	1	NA
CC Central:logTG	female	1	NA	1	1	NA	1	1	NA
CC Central:nonHDL	female	1	NA	1	NA	1	1	1	NA
Cardiovascular disease:CC Central	male	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Carotid intima-media thickness	female	1	NA	1	NA	1	1	1	NA
Cardiovascular disease:Carotid intima-media thickness	male	2	NA	2	NA	2	2	2	NA
Cardiovascular disease:Educational attainment	female	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Educational attainment	male	2	2	NA	NA	NA	2	2	NA
Cardiovascular disease:Fasting glucose	female	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Fasting insulin	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Glycine level	female	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Glycine level	male	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:HDL	female	10	8	2	1	1	10	8	2
Cardiovascular disease:HDL	male	22	17	5	4	1	22	12	10
Cardiovascular disease:Height	female	1	1	NA	NA	NA	1	NA	1
Cardiovascular disease:Height	male	3	1	2	1	1	3	2	1
Cardiovascular disease:Hip circumference	male	2	1	1	1	NA	2	2	NA
Cardiovascular disease:Hip circumference (adjBMI)	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Insomnia	male	1	NA	1	NA	1	1	1	NA
Cardiovascular disease:LDL	female	10	2	8	5	3	10	8	2
Cardiovascular disease:LDL	male	27	12	15	7	8	27	21	6
Cardiovascular disease:Major Depression	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Multisite chronic pain	female	2	2	NA	NA	NA	2	2	NA
Cardiovascular disease:Multisite chronic pain	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Schizophrenia	female	2	2	NA	NA	NA	2	2	NA
Cardiovascular disease:Schizophrenia	male	3	3	NA	NA	NA	3	1	2
Cardiovascular disease:Snoring	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Spelling	male	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:TC	female	12	4	8	6	2	12	11	1
Cardiovascular disease:TC	male	28	14	14	10	4	28	20	8
Cardiovascular disease:Type 2 diabetes	female	4	1	3	3	NA	4	2	2
Cardiovascular disease:Type 2 diabetes	male	10	1	9	5	4	10	6	4
Cardiovascular disease:Waist circumference	female	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Waist circumference	male	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Waist circumference (adjBMI)	female	2	NA	2	2	NA	2	2	NA
Cardiovascular disease:Waist circumference (adjBMI)	male	2	1	1	1	NA	2	2	NA
Cardiovascular disease:Waist-hip ratio	female	3	1	2	2	NA	3	3	NA
Cardiovascular disease:Waist-hip ratio	male	1	1	NA	NA	NA	1	1	NA
Cardiovascular disease:Waist-hip ratio (<= 50 yrs, adjBMI)	female	2	NA	2	2	NA	2	2	NA
Cardiovascular disease:Waist-hip ratio (> 50 yrs, adjBMI)	female	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:Waist-hip ratio (adjBMI)	female	2	NA	2	2	NA	2	2	NA
Cardiovascular disease:Weight	female	1	NA	1	NA	1	1	1	NA
Cardiovascular disease:logTG	female	8	1	7	5	2	8	6	2
Cardiovascular disease:logTG	male	18	2	16	10	6	18	15	3
Cardiovascular disease:nonHDL	female	9	2	7	6	1	9	8	1
Cardiovascular disease:nonHDL	male	27	9	18	12	6	27	24	3
Carotid intima-media thickness:Educational attainment	female	1	1	NA	NA	NA	1	1	NA
Carotid intima-media thickness:Fasting glucose	male	1	NA	1	1	NA	1	1	NA
Carotid intima-media thickness:LDL	female	1	NA	1	NA	1	1	1	NA
Carotid intima-media thickness:Schizophrenia	male	1	1	NA	NA	NA	1	NA	1
Carotid intima-media thickness:TC	female	1	NA	1	1	NA	1	1	NA
Carotid intima-media thickness:Type 2 diabetes	male	3	1	2	1	1	3	2	1
Carotid intima-media thickness:logTG	female	2	1	1	1	NA	2	2	NA
Carotid intima-media thickness:logTG	male	1	1	NA	NA	NA	1	1	NA
Carotid intima-media thickness:nonHDL	female	1	NA	1	NA	1	1	1	NA
Carotid intima-media thickness:nonHDL	male	1	NA	1	1	NA	1	1	NA
Educational attainment:Fasting glucose	female	1	1	NA	NA	NA	1	NA	1
Educational attainment:Fasting glucose	male	1	NA	1	NA	1	1	1	NA
Educational attainment:Grip strength measurement/ Muscle weakness	female	2	2	NA	NA	NA	2	2	NA
Educational attainment:HDL	female	12	2	10	6	4	12	6	6
Educational attainment:HDL	male	9	2	7	4	3	9	4	5
Educational attainment:Height	female	2	NA	2	1	1	2	2	NA
Educational attainment:Height	male	1	NA	1	NA	1	1	1	NA
Educational attainment:Hip circumference	female	4	3	1	NA	1	4	3	1
Educational attainment:Hip circumference (adjBMI)	female	2	1	1	NA	1	2	2	NA
Educational attainment:LDL	female	6	5	1	NA	1	6	1	5
Educational attainment:LDL	male	3	1	2	1	1	3	2	1
Educational attainment:Left Caudate	female	1	1	NA	NA	NA	1	1	NA
Educational attainment:Left Putamen	female	1	1	NA	NA	NA	1	NA	1
Educational attainment:Multisite chronic pain	female	8	8	NA	NA	NA	8	6	2
Educational attainment:Multisite chronic pain	male	3	3	NA	NA	NA	3	2	1
Educational attainment:Nonword reading	male	1	NA	1	1	NA	1	1	NA
Educational attainment:PTSD	female	1	1	NA	NA	NA	1	1	NA
Educational attainment:Parkinson's disease	female	1	NA	1	NA	1	1	NA	1
Educational attainment:Right Putamen	female	1	1	NA	NA	NA	1	NA	1
Educational attainment:Risk-taking behaviour	female	2	NA	2	1	1	2	1	1
Educational attainment:Risk-taking behaviour	male	1	1	NA	NA	NA	1	NA	1
Educational attainment:Schizophrenia	female	6	2	4	2	2	6	4	2
Educational attainment:Schizophrenia	male	5	1	4	1	3	5	3	2
Educational attainment:Snoring	female	4	3	1	1	NA	4	2	2
Educational attainment:TC	female	6	4	2	1	1	6	2	4
Educational attainment:TC	male	5	3	2	1	1	5	1	4
Educational attainment:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	1	NA
Educational attainment:Type 2 diabetes	female	1	1	NA	NA	NA	1	NA	1
Educational attainment:Type 2 diabetes	male	4	3	1	NA	1	4	3	1
Educational attainment:Waist circumference	female	4	3	1	1	NA	4	3	1
Educational attainment:Waist-hip ratio	male	1	1	NA	NA	NA	1	1	NA
Educational attainment:Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	1	NA	1
Educational attainment:Weight	female	2	2	NA	NA	NA	2	2	NA
Educational attainment:Weight	male	1	NA	1	1	NA	1	NA	1
Educational attainment:Word reading	male	1	NA	1	1	NA	1	1	NA
Educational attainment:logTG	female	16	14	2	1	1	16	9	7
Educational attainment:logTG	male	5	5	NA	NA	NA	5	4	1
Educational attainment:nonHDL	female	8	7	1	NA	1	8	3	5
Fasting glucose:Fasting insulin	female	2	NA	2	1	1	2	2	NA
Fasting glucose:Fasting insulin	male	2	NA	2	1	1	2	2	NA
Fasting glucose:Glycine level	female	1	NA	1	NA	1	1	1	NA
Fasting glucose:Glycine level	male	1	NA	1	1	NA	1	NA	1
Fasting glucose:Grip strength measurement/ Muscle weakness	female	1	NA	1	NA	1	1	NA	1
Fasting glucose:HDL	female	4	1	3	1	2	4	2	2
Fasting glucose:HDL	male	4	1	3	NA	3	4	2	2
Fasting glucose:Height	female	1	NA	1	1	NA	1	NA	1
Fasting glucose:Hip circumference	female	1	1	NA	NA	NA	1	1	NA
Fasting glucose:Hip circumference	male	2	1	1	NA	1	2	2	NA
Fasting glucose:LDL	female	6	4	2	NA	2	6	2	4
Fasting glucose:LDL	male	5	3	2	2	NA	5	4	1
Fasting glucose:Parkinson's disease	female	1	NA	1	1	NA	1	1	NA
Fasting glucose:TC	female	10	4	6	3	3	10	3	7
Fasting glucose:TC	male	6	2	4	2	2	6	4	2
Fasting glucose:Thyroid-stimulating hormone	male	3	1	2	1	1	3	2	1
Fasting glucose:Type 2 diabetes	female	10	NA	10	4	6	10	9	1
Fasting glucose:Type 2 diabetes	male	17	NA	17	7	10	17	15	2
Fasting glucose:Waist circumference	male	2	1	1	NA	1	2	1	1
Fasting glucose:Weight	male	1	NA	1	1	NA	1	1	NA
Fasting glucose:logTG	female	14	5	9	2	7	14	9	5
Fasting glucose:logTG	male	7	4	3	2	1	7	2	5
Fasting glucose:nonHDL	female	8	4	4	NA	4	8	3	5
Fasting glucose:nonHDL	male	4	2	2	1	1	4	4	NA
Fasting insulin:Glycine level	female	1	NA	1	NA	1	1	1	NA
Fasting insulin:Glycine level	male	2	1	1	NA	1	2	2	NA
Fasting insulin:HDL	female	5	4	1	1	NA	5	4	1
Fasting insulin:HDL	male	4	4	NA	NA	NA	4	4	NA
Fasting insulin:Height	female	1	1	NA	NA	NA	1	NA	1
Fasting insulin:Hip circumference	female	3	2	1	1	NA	3	3	NA
Fasting insulin:Hip circumference	male	3	1	2	1	1	3	3	NA
Fasting insulin:Hip circumference (adjBMI)	female	3	3	NA	NA	NA	3	3	NA
Fasting insulin:LDL	female	4	1	3	2	1	4	4	NA
Fasting insulin:LDL	male	3	2	1	NA	1	3	3	NA
Fasting insulin:Snoring	male	1	NA	1	1	NA	1	1	NA
Fasting insulin:TC	female	5	4	1	NA	1	5	4	1
Fasting insulin:TC	male	1	NA	1	NA	1	1	1	NA
Fasting insulin:Type 2 diabetes	female	6	1	5	2	3	6	6	NA
Fasting insulin:Type 2 diabetes	male	3	NA	3	3	NA	3	3	NA
Fasting insulin:Waist circumference	female	1	NA	1	1	NA	1	1	NA
Fasting insulin:Waist circumference	male	3	1	2	1	1	3	3	NA
Fasting insulin:Waist circumference (adjBMI)	female	2	NA	2	1	1	2	2	NA
Fasting insulin:Waist circumference (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
Fasting insulin:Waist-hip ratio	female	4	NA	4	3	1	4	4	NA
Fasting insulin:Waist-hip ratio	male	2	1	1	1	NA	2	2	NA
Fasting insulin:Waist-hip ratio (<= 50 yrs, adjBMI)	female	3	NA	3	1	2	3	3	NA
Fasting insulin:Waist-hip ratio (> 50 yrs, adjBMI)	female	3	NA	3	2	1	3	3	NA
Fasting insulin:Waist-hip ratio (adjBMI)	female	3	NA	3	2	1	3	3	NA
Fasting insulin:Weight	female	2	NA	2	2	NA	2	2	NA
Fasting insulin:Weight	male	1	NA	1	1	NA	1	1	NA
Fasting insulin:logTG	female	3	NA	3	1	2	3	1	2
Fasting insulin:logTG	male	3	1	2	2	NA	3	3	NA
Fasting insulin:nonHDL	female	4	2	2	1	1	4	3	1
Fasting insulin:nonHDL	male	3	1	2	1	1	3	3	NA
Free thyroxine (FT4):HDL	female	2	NA	2	1	1	2	NA	2
Free thyroxine (FT4):HDL	male	6	1	5	4	1	6	5	1
Free thyroxine (FT4):Height	female	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):Height	male	1	NA	1	1	NA	1	NA	1
Free thyroxine (FT4):Insomnia	male	1	NA	1	NA	1	1	1	NA
Free thyroxine (FT4):LDL	female	2	2	NA	NA	NA	2	2	NA
Free thyroxine (FT4):LDL	male	4	2	2	2	NA	4	3	1
Free thyroxine (FT4):Multisite chronic pain	male	1	NA	1	NA	1	1	1	NA
Free thyroxine (FT4):Nonword reading	female	1	NA	1	1	NA	1	NA	1
Free thyroxine (FT4):TC	female	2	2	NA	NA	NA	2	2	NA
Free thyroxine (FT4):TC	male	5	2	3	2	1	5	4	1
Free thyroxine (FT4):Thyroid-stimulating hormone	female	2	1	1	1	NA	2	2	NA
Free thyroxine (FT4):Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):Waist-hip ratio	female	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):Waist-hip ratio (> 50 yrs, adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):logTG	female	1	1	NA	NA	NA	1	1	NA
Free thyroxine (FT4):logTG	male	6	4	2	2	NA	6	4	2
Free thyroxine (FT4):nonHDL	female	2	2	NA	NA	NA	2	2	NA
Free thyroxine (FT4):nonHDL	male	3	2	1	1	NA	3	2	1
Glycine level:HDL	female	3	3	NA	NA	NA	3	2	1
Glycine level:HDL	male	4	1	3	1	2	4	3	1
Glycine level:Hip circumference	male	1	NA	1	NA	1	1	1	NA
Glycine level:LDL	female	2	2	NA	NA	NA	2	2	NA
Glycine level:LDL	male	7	3	4	3	1	7	6	1
Glycine level:Multisite chronic pain	female	1	NA	1	NA	1	1	1	NA
Glycine level:Performance IQ	female	1	1	NA	NA	NA	1	1	NA
Glycine level:TC	female	2	2	NA	NA	NA	2	2	NA
Glycine level:TC	male	10	3	7	5	2	10	9	1
Glycine level:Thyroid-stimulating hormone	male	1	1	NA	NA	NA	1	1	NA
Glycine level:Type 2 diabetes	female	1	NA	1	NA	1	1	1	NA
Glycine level:Type 2 diabetes	male	4	3	1	NA	1	4	4	NA
Glycine level:Waist circumference	male	1	NA	1	1	NA	1	1	NA
Glycine level:logTG	female	2	NA	2	NA	2	2	1	1
Glycine level:logTG	male	6	4	2	1	1	6	4	2
Glycine level:nonHDL	female	2	2	NA	NA	NA	2	2	NA
Glycine level:nonHDL	male	6	3	3	2	1	6	6	NA
Grip strength measurement/ Muscle weakness:HDL	female	6	4	2	NA	2	6	3	3
Grip strength measurement/ Muscle weakness:HDL	male	3	1	2	1	1	3	3	NA
Grip strength measurement/ Muscle weakness:Height	female	6	6	NA	NA	NA	6	5	1
Grip strength measurement/ Muscle weakness:Height	male	2	2	NA	NA	NA	2	2	NA
Grip strength measurement/ Muscle weakness:Height SDS	female	1	1	NA	NA	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Hip circumference	female	2	2	NA	NA	NA	2	2	NA
Grip strength measurement/ Muscle weakness:Hip circumference (adjBMI)	female	5	5	NA	NA	NA	5	3	2
Grip strength measurement/ Muscle weakness:Hip circumference (adjBMI)	male	3	3	NA	NA	NA	3	3	NA
Grip strength measurement/ Muscle weakness:LDL	female	2	1	1	NA	1	2	1	1
Grip strength measurement/ Muscle weakness:LDL	male	2	2	NA	NA	NA	2	1	1
Grip strength measurement/ Muscle weakness:Left Caudate	male	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Left Putamen	female	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Multisite chronic pain	female	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Multisite chronic pain	male	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Right Putamen	female	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Schizophrenia	female	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Schizophrenia	male	1	NA	1	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Snoring	female	3	2	1	NA	1	3	3	NA
Grip strength measurement/ Muscle weakness:TC	female	3	2	1	NA	1	3	1	2
Grip strength measurement/ Muscle weakness:TC	male	3	2	1	1	NA	3	2	1
Grip strength measurement/ Muscle weakness:Type 2 diabetes	female	2	NA	2	1	1	2	2	NA
Grip strength measurement/ Muscle weakness:Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Waist circumference (adjBMI)	male	3	3	NA	NA	NA	3	3	NA
Grip strength measurement/ Muscle weakness:Waist-hip ratio	female	1	1	NA	NA	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Weight	female	2	2	NA	NA	NA	2	2	NA
Grip strength measurement/ Muscle weakness:logTG	female	3	1	2	2	NA	3	2	1
Grip strength measurement/ Muscle weakness:logTG	male	4	2	2	2	NA	4	3	1
Grip strength measurement/ Muscle weakness:nonHDL	female	1	NA	1	NA	1	1	NA	1
Grip strength measurement/ Muscle weakness:nonHDL	male	1	1	NA	NA	NA	1	NA	1
HDL:Height	female	17	6	11	6	5	17	9	8
HDL:Height	male	12	7	5	2	3	12	8	4
HDL:Height SDS	female	1	1	NA	NA	NA	1	1	NA
HDL:Height SDS	male	2	NA	2	NA	2	2	2	NA
HDL:Hip circumference	female	26	17	9	6	3	26	25	1
HDL:Hip circumference	male	17	10	7	4	3	17	11	6
HDL:Hip circumference (adjBMI)	female	20	3	17	9	8	20	15	5
HDL:Hip circumference (adjBMI)	male	10	2	8	4	4	10	7	3
HDL:Insomnia	female	2	1	1	NA	1	2	2	NA
HDL:LDL	female	137	80	57	30	27	137	83	54
HDL:LDL	male	114	41	73	30	43	114	63	51
HDL:Left 5m area	male	1	1	NA	NA	NA	1	1	NA
HDL:Left Caudate	female	4	2	2	NA	2	4	3	1
HDL:Left Caudate	male	2	2	NA	NA	NA	2	1	1
HDL:Left PoI GM thikness	male	1	1	NA	NA	NA	1	1	NA
HDL:Left Putamen	female	5	4	1	NA	1	5	3	2
HDL:Left Putamen	male	1	1	NA	NA	NA	1	1	NA
HDL:Major Depression	female	1	1	NA	NA	NA	1	1	NA
HDL:Major Depression	male	1	1	NA	NA	NA	1	1	NA
HDL:Multisite chronic pain	female	4	3	1	1	NA	4	4	NA
HDL:Multisite chronic pain	male	7	7	NA	NA	NA	7	5	2
HDL:Nonword reading	female	1	1	NA	NA	NA	1	1	NA
HDL:PTSD	female	1	1	NA	NA	NA	1	1	NA
HDL:Parkinson's disease	female	7	3	4	2	2	7	3	4
HDL:Parkinson's disease	male	5	3	2	1	1	5	2	3
HDL:Performance IQ	male	1	NA	1	1	NA	1	NA	1
HDL:Right Putamen	female	4	3	1	NA	1	4	3	1
HDL:Right Putamen	male	1	1	NA	NA	NA	1	NA	1
HDL:Schizophrenia	female	8	4	4	3	1	8	5	3
HDL:Schizophrenia	male	16	5	11	5	6	16	6	10
HDL:Snoring	female	5	4	1	NA	1	5	4	1
HDL:Snoring	male	4	3	1	NA	1	4	4	NA
HDL:Spelling	female	1	NA	1	NA	1	1	1	NA
HDL:TC	female	159	58	101	43	58	159	95	64
HDL:TC	male	149	41	108	48	60	149	84	65
HDL:Thyroid-stimulating hormone	female	3	2	1	1	NA	3	3	NA
HDL:Thyroid-stimulating hormone	male	5	3	2	NA	2	5	3	2
HDL:Type 2 diabetes	female	43	35	8	3	5	43	34	9
HDL:Type 2 diabetes	male	51	43	8	5	3	51	36	15
HDL:Waist circumference	female	17	14	3	1	2	17	16	1
HDL:Waist circumference	male	14	9	5	1	4	14	12	2
HDL:Waist circumference (adjBMI)	female	24	21	3	NA	3	24	18	6
HDL:Waist circumference (adjBMI)	male	13	9	4	2	2	13	11	2
HDL:Waist-hip ratio	female	18	16	2	NA	2	18	16	2
HDL:Waist-hip ratio	male	11	9	2	1	1	11	11	NA
HDL:Waist-hip ratio (<= 50 yrs, adjBMI)	female	11	11	NA	NA	NA	11	10	1
HDL:Waist-hip ratio (<= 50 yrs, adjBMI)	male	1	1	NA	NA	NA	1	NA	1
HDL:Waist-hip ratio (> 50 yrs, adjBMI)	female	20	20	NA	NA	NA	20	18	2
HDL:Waist-hip ratio (> 50 yrs, adjBMI)	male	4	2	2	2	NA	4	3	1
HDL:Waist-hip ratio (adjBMI)	female	24	21	3	NA	3	24	20	4
HDL:Waist-hip ratio (adjBMI)	male	5	3	2	1	1	5	4	1
HDL:Weight	female	12	9	3	2	1	12	10	2
HDL:Weight	male	12	9	3	NA	3	12	10	2
HDL:logTG	female	191	161	30	16	14	191	158	33
HDL:logTG	male	173	136	37	14	23	173	127	46
HDL:nonHDL	female	154	100	54	26	28	154	97	57
HDL:nonHDL	male	106	58	48	23	25	106	61	45
Height SDS:Hip circumference	female	2	NA	2	1	1	2	2	NA
Height SDS:Hip circumference	male	4	NA	4	2	2	4	4	NA
Height SDS:Hip circumference (adjBMI)	female	3	NA	3	3	NA	3	3	NA
